published_date,open,high,low,close,per_change,traded_quantity,traded_amount
5/15/2011,1091,1155,1112,1155,nan,38,43057
5/16/2011,1155,1193,1160,1193,3.29,156,183026
5/18/2011,1193,1172,1150,1172,-1.76,939,1087972
5/19/2011,1172,1194,1155,1194,1.88,490,573992
5/22/2011,1194,1193,1178,1178,-1.34,115,135930
5/23/2011,1178,1189,1165,1170,-0.68,239,279927
5/24/2011,1170,1160,1150,1150,-1.71,282,325456
5/25/2011,1150,1159,1100,1150,0,597,664216
5/26/2011,1150,1149,1127,1149,-0.09,127,143553
5/30/2011,1149,1151,1140,1150,0.09,320,366010
5/31/2011,1150,1140,1080,1100,-4.35,873,967825
6/1/2011,1100,1122,1060,1080,-1.82,338,364480
6/2/2011,1080,1101,1040,1056,-2.22,1912,2011952
6/5/2011,1056,1060,1030,1060,0.38,665,691620
6/6/2011,1060,1060,1020,1055,-0.47,1052,1104070
6/7/2011,1055,1045,1000,1045,-0.95,236,240327
6/8/2011,1045,1025,985,1020,-2.39,1212,1209779
6/9/2011,1020,1025,966,1023,0.29,338,333519
6/12/2011,1023,1003,932,965,-5.67,632,601240
6/13/2011,965,955,903,933,-3.32,2673,2453922
6/14/2011,933,915,855,868,-6.97,1716,1520501
6/15/2011,868,860,790,817,-5.88,1931,1582441
6/16/2011,817,898,803,898,9.91,1980,1626616
6/19/2011,898,987,915,987,9.91,1362,1334036
6/20/2011,898,987,915,987,0,1362,1334036
6/21/2011,1085,1193,1106,1193,20.87,3475,4021756
6/23/2011,1193,1312,1216,1310,9.81,3749,4805062
6/26/2011,1310,1375,1179,1228,-6.26,3966,5020720
6/27/2011,1228,1219,1106,1106,-9.93,552,629914
6/29/2011,1106,1140,1024,1123,1.54,1583,1730151
6/30/2011,1123,1140,1060,1140,1.51,1898,2042371
7/3/2011,1140,1118,1059,1065,-6.58,863,929659
7/4/2011,1065,1086,1030,1086,1.97,3785,3945917
7/5/2011,1086,1140,1086,1140,4.97,1168,1284613
7/6/2011,1140,1162,1100,1100,-3.51,1170,1321084
7/7/2011,1100,1125,1098,1120,1.82,344,383354
7/10/2011,1120,1150,1135,1140,1.79,2034,2311080
7/11/2011,1140,1164,1130,1160,1.75,1784,2053243
7/12/2011,1160,1240,1180,1190,2.59,1022,1222314
7/13/2011,1190,1260,1190,1190,0,1603,1934702
7/14/2011,1190,1252,1213,1252,5.21,883,1083658
7/17/2011,1252,1377,1277,1377,9.98,177,235979
7/18/2011,1377,1410,1258,1283,-6.83,1584,2115924
7/19/2011,1283,1321,1285,1321,2.96,1301,1702762
7/20/2011,1321,1373,1326,1356,2.65,814,1095038
7/21/2011,1356,1380,1345,1370,1.03,1285,1742628
7/24/2011,1370,1345,1260,1320,-3.65,808,1046020
7/25/2011,1320,1294,1294,1294,-1.97,59,76346
7/26/2011,1294,1270,1246,1265,-2.24,652,826113
7/27/2011,1265,1294,1245,1294,2.29,2033,2554709
7/28/2011,1294,1305,1276,1289,-0.39,578,744984
7/31/2011,1289,1264,1240,1250,-3.03,539,674520
8/1/2011,1250,1254,1241,1246,-0.32,495,616155
8/2/2011,1246,1270,1242,1266,1.61,596,743514
8/3/2011,1266,1255,1235,1240,-2.05,665,824608
8/4/2011,1240,1252,1232,1252,0.97,114,140848
8/9/2011,1252,1227,1180,1182,-5.59,740,878783
8/10/2011,1182,1234,1160,1234,4.4,1124,1316070
8/11/2011,1234,1255,1220,1220,-1.13,115,141748
8/15/2011,1220,1241,1210,1225,0.41,1476,1800766
8/16/2011,1225,1230,1205,1225,0,1028,1254931
8/17/2011,1225,1231,1210,1231,0.49,645,787804
8/18/2011,1231,1230,1220,1224,-0.57,321,393132
8/22/2011,1224,1220,1211,1211,-1.06,104,126430
8/23/2011,1211,1210,1200,1200,-0.91,425,511260
8/24/2011,1200,1207,1190,1190,-0.83,564,676062
8/25/2011,1190,1180,1175,1180,-0.84,403,474435
8/28/2011,1180,1157,1062,1062,-10,100,108720
8/29/2011,1062,1041,956,956,-9.98,863,827348
8/30/2011,956,992,934,992,3.77,8063,7668660
9/1/2011,992,999,974,990,-0.2,1614,1588177
9/4/2011,990,980,970,975,-1.52,841,818075
9/5/2011,975,970,953,954,-2.15,1249,1201341
9/6/2011,954,955,917,917,-3.88,1811,1681199
9/7/2011,917,920,900,903,-1.53,824,745124
9/8/2011,903,901,882,885,-1.99,1387,1237881
9/12/2011,885,899,875,897,1.36,451,397532
9/13/2011,897,947,905,947,5.57,224,205568
9/14/2011,947,929,904,910,-3.91,961,876470
9/15/2011,910,925,910,925,1.65,159,145380
9/18/2011,925,907,890,900,-2.7,477,426300
9/19/2011,900,918,900,918,2,830,753294
9/20/2011,918,940,907,940,2.4,215,198965
9/21/2011,940,950,925,950,1.06,275,257730
9/22/2011,950,969,955,960,1.05,308,295815
9/25/2011,960,960,941,941,-1.98,224,214404
9/26/2011,941,959,950,950,0.96,200,190900
9/27/2011,950,949,940,940,-1.05,550,519200
9/29/2011,940,959,955,955,1.6,434,415500
10/2/2011,955,980,974,980,2.62,272,265216
10/13/2011,980,982,975,982,0.2,587,572737
10/16/2011,982,998,970,970,-1.22,283,275790
10/17/2011,970,965,948,948,-2.27,686,654440
10/18/2011,948,966,945,950,0.21,330,313260
10/19/2011,950,960,927,931,-2,403,378670
10/20/2011,931,939,902,939,0.86,1328,1214499
10/23/2011,939,935,915,915,-2.56,302,278945
10/24/2011,915,915,881,901,-1.53,565,502579
10/25/2011,901,915,850,915,1.55,1637,1443364
10/30/2011,915,900,900,900,-1.64,25,22500
10/31/2011,900,907,899,907,0.78,366,330460
11/2/2011,907,997,925,996,9.81,1447,1404378
11/3/2011,996,1015,930,930,-6.63,1243,1195200
11/6/2011,930,930,900,901,-3.12,1337,1211267
11/8/2011,901,901,885,892,-1,605,540154
11/9/2011,892,896,890,890,-0.22,870,775460
11/10/2011,890,890,880,880,-1.12,391,345380
11/13/2011,880,870,866,870,-1.14,145,125690
11/14/2011,870,887,866,867,-0.34,553,480114
11/16/2011,867,875,875,875,0.92,300,262500
11/17/2011,875,909,892,909,3.89,24,21646
11/20/2011,909,900,880,885,-2.64,525,463490
11/21/2011,885,880,870,870,-1.69,120,105400
11/22/2011,870,871,862,870,0,911,790316
11/23/2011,870,865,865,865,-0.57,147,127155
11/24/2011,865,865,860,860,-0.58,153,132100
11/27/2011,860,887,865,887,3.14,239,207657
11/28/2011,887,872,870,872,-1.69,135,117516
