published_date,open,high,low,close,per_change,traded_quantity,traded_amount
9/20/2011,117,120,118,118,0.85,571,68039
9/21/2011,118,117,117,117,-0.85,683,79911
9/22/2011,117,120,116,118,0.85,1230,145130
9/25/2011,118,120,116,120,1.69,2124,249661
9/26/2011,120,120,115,120,0,1155,136110
9/27/2011,120,119,118,118,-1.67,1650,195440
9/29/2011,118,119,117,118,0,1062,125124
10/2/2011,118,117,115,117,-0.85,320,37210
10/10/2011,117,120,116,120,2.56,781,92063
10/12/2011,120,118,115,118,-1.67,974,113308
10/13/2011,118,119,116,118,0,3345,391615
10/16/2011,118,119,116,117,-0.85,1400,164296
10/17/2011,117,117,115,117,0,1261,147132
10/18/2011,117,117,115,116,-0.85,991,115077
10/19/2011,116,117,117,117,0.86,820,95940
10/20/2011,117,118,114,116,-0.85,956,111213
10/23/2011,116,117,115,115,-0.86,1908,221180
10/24/2011,115,118,115,116,0.87,1190,138420
10/25/2011,116,119,114,119,2.59,1244,146192
10/30/2011,119,121,120,120,0.84,9320,1127600
10/31/2011,120,119,116,119,-0.83,1262,148740
11/2/2011,119,129,121,129,8.4,110,13870
11/3/2011,129,135,131,133,3.1,5625,739865
11/6/2011,133,131,120,120,-9.77,3883,468994
11/8/2011,120,120,117,119,-0.83,2100,247629
11/9/2011,119,120,118,118,-0.84,1182,139809
11/10/2011,118,119,118,119,0.85,3122,368686
11/13/2011,119,120,118,120,0.84,1164,139094
11/14/2011,120,122,114,122,1.67,2691,314662
11/15/2011,122,121,118,119,-2.46,1157,138490
11/16/2011,119,120,118,120,0.84,1400,166860
11/17/2011,120,120,118,118,-1.67,734,86866
11/20/2011,118,118,115,118,0,2545,297845
11/21/2011,118,118,117,118,0,1461,172188
11/22/2011,118,118,117,117,-0.85,1141,133767
11/23/2011,117,118,117,117,0,410,48010
11/24/2011,117,119,114,117,0,1499,175671
11/27/2011,117,119,116,119,1.71,2513,295234
11/28/2011,119,118,117,118,-0.84,61,7168
11/29/2011,160,163,155,156,32.2,2778,445990
11/29/2011,160,163,155,156,0,2778,445990
11/29/2011,160,163,155,156,0,2778,445990
12/5/2011,125,123,121,121,-22.44,20,2440
12/6/2011,121,119,119,119,-1.65,30,3570
12/7/2011,119,117,114,114,-4.2,5809,668048
12/8/2011,114,117,114,117,2.63,3872,445802
12/11/2011,117,115,113,115,-1.71,1249,142286
12/12/2011,115,115,114,115,0,1087,123949
12/13/2011,115,115,113,114,-0.87,2102,238809
12/14/2011,114,116,113,114,0,1225,139440
12/15/2011,114,115,113,114,0,2866,327977
12/18/2011,114,115,112,114,0,651,73614
12/19/2011,114,116,113,113,-0.88,1228,141948
12/20/2011,113,115,113,113,0,1011,114544
12/21/2011,113,116,113,116,2.65,1397,159698
12/22/2011,116,116,114,116,0,210,24120
12/26/2011,116,114,112,113,-2.59,1702,191866
12/27/2011,113,114,113,114,0.88,1405,159578
12/28/2011,114,113,113,113,-0.88,250,28250
12/29/2011,113,116,112,115,1.77,1699,193297
1/1/2012,115,115,113,114,-0.87,1111,125973
1/2/2012,114,118,115,118,3.51,551,64227
1/3/2012,118,116,114,115,-2.54,490,56130
1/4/2012,115,115,113,114,-0.87,3220,369040
1/5/2012,114,114,112,113,-0.88,775,87595
1/8/2012,113,115,113,114,0.88,3240,369120
1/9/2012,114,113,111,111,-2.63,1710,190718
1/10/2012,113,114,112,112,0.9,549,62007
1/11/2012,112,112,111,112,0,2477,277012
1/12/2012,112,112,110,112,0,3102,344864
1/16/2012,112,112,111,111,-0.89,1049,116985
1/17/2012,111,114,110,113,1.8,866,96445
1/18/2012,113,118,114,118,4.42,2190,253740
1/19/2012,118,117,115,117,-0.85,411,47745
1/22/2012,117,118,115,117,0,4484,522708
1/23/2012,117,115,111,112,-4.27,1650,187270
1/25/2012,112,114,111,114,1.79,1170,130710
1/26/2012,114,114,110,112,-1.75,1060,118750
1/29/2012,112,114,111,112,0,4200,473960
1/31/2012,112,114,110,110,-1.79,2291,254352
2/1/2012,110,113,110,111,0.91,1833,203887
2/2/2012,111,113,111,111,0,3946,442100
2/5/2012,111,111,109,110,-0.9,1611,176945
2/6/2012,110,111,110,111,0.91,992,109391
2/7/2012,111,110,107,110,-0.9,2091,227290
2/8/2012,110,110,109,110,0,386,42300
2/9/2012,110,110,109,109,-0.91,920,100990
2/12/2012,109,109,108,109,0,1309,142115
2/13/2012,109,111,107,108,-0.92,1992,216906
