published_date,open,high,low,close,per_change,traded_quantity,traded_amount
3/20/2011,207,217,211,217,4.83,1650,353010
3/24/2011,216,220,209,218,0.46,3350,723860
3/25/2011,218,216,212,215,-1.38,2710,581110
3/27/2011,215,211,205,208,-3.26,1538,320520
3/28/2011,208,206,196,200,-3.85,1520,304830
3/29/2011,200,202,193,200,0,2900,577850
3/30/2011,200,204,194,200,0,3060,599170
3/31/2011,200,210,193,206,3,4080,811180
4/4/2011,206,210,204,208,0.97,2930,602540
4/5/2011,208,212,208,209,0.48,1910,400370
4/6/2011,209,211,206,208,-0.48,1160,241100
4/7/2011,208,208,207,208,0,230,47630
4/10/2011,208,206,201,206,-0.96,1830,373230
4/11/2011,206,210,200,201,-2.43,2940,602590
4/13/2011,201,200,196,196,-2.49,520,102720
4/17/2011,196,199,193,193,-1.53,270,53310
4/18/2011,193,196,188,190,-1.55,1130,216800
4/19/2011,190,197,190,197,3.68,770,147680
4/20/2011,197,200,192,192,-2.54,830,162560
4/21/2011,192,193,185,186,-3.12,2300,429970
4/25/2011,186,184,181,181,-2.69,210,38440
4/27/2011,181,186,180,184,1.66,880,160190
4/28/2011,184,181,175,175,-4.89,700,124590
5/2/2011,175,176,174,176,0.57,680,119000
5/3/2011,176,174,167,167,-5.11,550,93970
5/4/2011,167,170,168,170,1.8,300,50720
5/5/2011,170,181,171,181,6.47,570,99690
5/8/2011,181,188,181,188,3.87,890,162890
5/9/2011,188,185,181,185,-1.6,850,155550
5/10/2011,185,201,188,201,8.65,510,98140
5/11/2011,201,200,191,200,-0.5,2620,509430
5/12/2011,200,208,197,208,4,2460,498530
5/15/2011,208,206,201,205,-1.44,1700,347810
5/16/2011,205,206,202,204,-0.49,1820,369930
5/18/2011,204,205,204,204,0,790,161680
5/19/2011,204,207,202,204,0,2920,595100
5/22/2011,204,200,196,199,-2.45,770,152080
5/23/2011,199,200,193,193,-3.02,1000,196240
5/24/2011,193,199,196,197,2.07,400,78980
5/25/2011,197,199,194,198,0.51,660,129440
5/26/2011,198,199,193,193,-2.53,660,129060
5/30/2011,193,196,196,196,1.55,250,49000
5/31/2011,196,194,190,193,-1.53,420,80470
6/1/2011,193,195,193,194,0.52,80,15520
6/2/2011,194,191,186,189,-2.58,560,104980
6/5/2011,189,188,175,175,-7.41,1820,328690
6/6/2011,175,174,167,173,-1.14,1960,334080
6/7/2011,173,173,167,167,-3.47,270,45480
6/8/2011,167,165,160,165,-1.2,3680,602710
6/9/2011,165,167,153,159,-3.64,1630,258070
6/12/2011,159,157,150,150,-5.66,2330,353430
6/13/2011,150,159,148,159,6,810,122090
6/14/2011,159,162,157,158,-0.63,160,25300
6/15/2011,158,155,152,153,-3.16,590,90410
6/16/2011,153,151,149,151,-1.31,3170,473440
6/19/2011,151,154,154,154,1.99,120,18480
6/20/2011,151,154,154,154,0,120,18480
6/21/2011,154,169,157,169,9.74,160,26200
6/23/2011,169,184,172,184,8.88,50,8900
6/26/2011,184,202,187,198,7.61,7640,1504820
6/27/2011,198,195,179,179,-9.6,2950,542330
6/29/2011,179,181,164,181,1.12,7100,1223510
6/30/2011,181,190,181,186,2.76,4036,739372
7/3/2011,186,198,185,192,3.23,2480,474670
7/4/2011,192,197,183,197,2.6,2160,418350
7/5/2011,197,204,197,203,3.05,1410,284290
7/6/2011,203,215,199,212,4.43,8290,1690220
7/7/2011,212,213,204,204,-3.77,2860,599140
7/10/2011,204,216,204,216,5.88,2680,564510
7/11/2011,216,216,212,212,-1.85,1340,285360
7/12/2011,212,218,210,213,0.47,2390,511770
7/13/2011,213,223,210,218,2.35,2800,610850
7/14/2011,218,227,219,222,1.83,3420,758000
7/17/2011,222,226,226,226,1.8,90,20340
7/18/2011,226,240,230,233,3.1,4910,1164030
7/19/2011,233,239,226,230,-1.29,5640,1306530
7/20/2011,230,237,229,234,1.74,2890,676240
7/21/2011,234,240,234,236,0.85,2140,506470
7/24/2011,236,234,226,226,-4.24,1300,297880
7/25/2011,226,222,214,218,-3.54,1310,284280
7/26/2011,218,219,215,215,-1.38,1000,217840
7/27/2011,215,221,211,221,2.79,1520,328260
7/28/2011,221,228,224,225,1.81,700,157620
7/31/2011,225,225,213,214,-4.89,2370,512790
8/1/2011,214,219,214,219,2.34,870,188040
8/2/2011,219,222,211,217,-0.91,1840,396670
8/3/2011,217,217,211,211,-2.76,2730,580160
8/4/2011,211,218,211,213,0.95,1480,317330
8/7/2011,213,210,206,207,-2.82,1780,370360
8/8/2011,207,203,200,200,-3.38,2300,462430
8/9/2011,200,206,200,203,1.5,1490,301280
8/10/2011,203,208,204,208,2.46,420,86260
8/11/2011,208,210,205,210,0.96,1650,342770
8/15/2011,210,213,210,211,0.48,1110,234990
8/16/2011,211,210,207,208,-1.42,410,85860
8/17/2011,208,204,199,199,-4.33,2940,588830
8/18/2011,199,202,195,199,0,1920,378560
8/22/2011,199,199,190,190,-4.52,1630,316300
8/23/2011,190,192,190,190,0,800,152140
8/24/2011,190,194,189,189,-0.53,760,144420
8/25/2011,189,190,187,190,0.53,320,60680
8/28/2011,190,188,184,188,-1.05,1280,239150
8/29/2011,188,193,185,193,2.66,1340,251390
8/30/2011,193,197,193,194,0.52,1280,248200
9/1/2011,194,195,192,195,0.52,2060,400980
9/4/2011,195,195,192,194,-0.51,1740,337150
9/5/2011,194,194,186,186,-4.12,1800,345700
9/6/2011,186,184,177,180,-3.23,1060,191310
9/7/2011,180,184,182,184,2.22,250,45750
9/8/2011,184,181,175,175,-4.89,1530,271250
9/12/2011,175,175,161,173,-1.14,2910,488450
9/13/2011,173,175,171,173,0,580,100440
9/14/2011,173,173,170,173,0,1110,191380
9/15/2011,173,176,176,176,1.73,40,7040
9/18/2011,176,179,173,176,0,1620,285060
9/19/2011,176,176,173,176,0,640,112060
9/20/2011,176,179,178,178,1.14,230,41100
9/21/2011,178,190,179,190,6.74,410,75680
9/22/2011,190,198,191,197,3.68,1450,281980
9/25/2011,197,198,189,189,-4.06,2210,426140
9/26/2011,189,191,180,182,-3.7,1820,337680
9/27/2011,182,186,180,185,1.65,2070,376070
10/2/2011,185,179,176,176,-4.86,420,74460
10/12/2011,176,173,170,170,-3.41,1530,261600
10/13/2011,170,170,169,170,0,80,13580
10/16/2011,170,170,169,169,-0.59,240,40740
10/17/2011,169,168,164,164,-2.96,640,106360
10/18/2011,164,167,164,164,0,120,19710
10/19/2011,164,168,163,168,2.44,1670,276320
10/20/2011,168,169,166,169,0.6,630,104870
10/23/2011,169,169,167,168,-0.59,460,77330
10/25/2011,168,168,168,168,0,100,16800
10/30/2011,168,171,171,171,1.79,40,6840
10/31/2011,171,177,170,177,3.51,540,94540
11/2/2011,177,189,180,189,6.78,1070,195870
11/3/2011,189,194,186,190,0.53,3090,584340
11/6/2011,190,188,184,185,-2.63,880,163470
11/8/2011,185,186,184,184,-0.54,420,77860
11/9/2011,184,181,181,181,-1.63,1600,289600
11/10/2011,181,178,175,178,-1.66,1140,201460
11/13/2011,178,175,172,175,-1.69,340,59200
11/14/2011,175,176,175,176,0.57,170,29820
11/15/2011,176,176,168,174,-1.14,2170,371530
11/16/2011,174,174,168,168,-3.45,560,94790
11/17/2011,168,173,165,173,2.98,850,144690
11/20/2011,173,171,168,171,-1.16,520,88020
11/21/2011,171,173,168,173,1.17,220,37320
11/22/2011,173,171,170,170,-1.73,860,146460
11/23/2011,170,171,168,169,-0.59,1440,243530
11/24/2011,169,170,168,169,0,1860,315380
11/27/2011,169,170,167,168,-0.59,1330,223920
11/28/2011,168,168,168,168,0,40,6720
12/1/2011,171,170,165,167,-0.6,1510,250380
12/4/2011,167,170,164,170,1.8,690,114820
12/5/2011,170,168,167,167,-1.76,340,56870
12/6/2011,167,168,165,166,-0.6,810,134620
12/7/2011,166,167,164,166,0,900,149240
12/8/2011,166,167,164,166,0,660,109530
12/11/2011,166,165,162,164,-1.2,970,157600
12/12/2011,164,163,161,163,-0.61,270,43650
12/13/2011,163,160,160,160,-1.84,100,16000
12/14/2011,160,165,162,165,3.12,480,78060
12/15/2011,165,170,166,166,0.61,380,63850
12/18/2011,166,165,164,165,-0.6,80,13190
12/19/2011,165,168,163,163,-1.21,1380,228020
12/20/2011,163,162,162,162,-0.61,480,77760
12/21/2011,162,169,165,165,1.85,1540,256840
12/22/2011,165,162,162,162,-1.82,200,32400
12/26/2011,162,165,160,165,1.85,990,160640
12/27/2011,165,168,164,164,-0.61,1060,174680
12/28/2011,164,164,162,164,0,900,146700
12/29/2011,164,170,165,170,3.66,1160,193520
1/1/2012,170,173,167,173,1.76,1340,226620
1/2/2012,173,181,169,181,4.62,1498,258540
1/3/2012,181,185,178,178,-1.66,730,131640
1/4/2012,178,176,170,170,-4.49,780,134300
1/5/2012,170,167,164,164,-3.53,360,59280
1/8/2012,164,167,167,167,1.83,200,33400
1/9/2012,167,170,165,168,0.6,780,131760
1/10/2012,164,175,171,175,4.17,370,63560
1/11/2012,175,179,175,176,0.57,1290,227940
1/12/2012,176,177,175,177,0.57,1080,189840
1/16/2012,177,177,174,174,-1.69,280,48900
1/17/2012,174,174,169,174,0,3130,538734
1/18/2012,174,175,174,174,0,313,54712
1/19/2012,174,175,173,175,0.57,150,26070
1/22/2012,175,178,169,169,-3.43,246,42168
1/23/2012,169,172,170,171,1.18,698,118977
1/25/2012,171,177,171,171,0,776,135592
1/26/2012,171,174,171,173,1.17,326,56322
1/29/2012,173,176,176,176,1.73,378,66528
1/31/2012,176,173,165,169,-3.98,1221,204193
2/1/2012,169,173,169,170,0.59,1085,184303
2/2/2012,170,173,170,170,0,328,55880
2/5/2012,170,168,165,167,-1.76,320,53227
2/6/2012,167,173,167,167,0,1380,232738
2/7/2012,167,174,167,170,1.8,5356,910797
2/8/2012,170,171,167,169,-0.59,1143,193604
2/9/2012,169,170,166,166,-1.78,812,136331
2/12/2012,166,169,164,165,-0.6,505,83404
2/13/2012,165,167,162,166,0.61,1581,258928
2/14/2012,166,168,164,164,-1.2,670,111718
2/15/2012,164,164,162,164,0,326,53065
2/16/2012,164,163,160,162,-1.22,1872,303366
2/21/2012,162,165,161,165,1.85,190,30908
2/23/2012,165,165,164,164,-0.61,198,32640
2/26/2012,164,166,161,165,0.61,2096,343741
2/27/2012,165,170,168,170,3.03,42,7098
2/28/2012,170,171,169,170,0,434,73615
2/29/2012,170,171,167,169,-0.59,1576,265883
3/1/2012,169,175,165,167,-1.18,863,144663
3/4/2012,167,173,169,173,3.59,1960,332470
3/5/2012,173,173,169,169,-2.31,1603,273624
3/6/2012,169,172,168,170,0.59,1353,230469
3/11/2012,170,171,168,169,-0.59,733,123937
3/12/2012,169,168,165,165,-2.37,1654,275059
3/13/2012,165,166,162,164,-0.61,735,120762
3/14/2012,164,166,164,166,1.22,752,124328
3/15/2012,166,165,160,163,-1.81,1055,169967
3/18/2012,163,165,161,165,1.23,2265,370063
3/19/2012,165,169,166,166,0.61,695,116109
3/20/2012,166,167,163,165,-0.6,842,138647
3/21/2012,165,165,160,160,-3.03,1401,225489
3/25/2012,160,163,160,161,0.62,1110,177952
3/26/2012,161,159,156,159,-1.24,536,84208
3/27/2012,159,162,159,162,1.89,864,138734
3/28/2012,162,163,158,163,0.62,790,126651
3/29/2012,163,163,162,163,0,515,83665
4/1/2012,163,164,162,163,0,512,83509
4/2/2012,163,166,161,165,1.23,1216,199175
4/3/2012,165,171,161,169,2.42,1599,267823
4/4/2012,169,168,165,165,-2.37,1025,169840
4/5/2012,165,169,165,169,2.42,663,110120
4/8/2012,169,171,164,170,0.59,1927,323618
4/9/2012,170,168,165,168,-1.18,864,143644
4/10/2012,168,172,170,172,2.38,984,167697
4/11/2012,172,181,175,175,1.74,2429,430100
4/12/2012,175,191,176,191,9.14,4779,886373
4/15/2012,191,210,194,210,9.95,1682,342623
4/16/2012,210,214,214,214,1.9,20,4280
4/17/2012,214,230,202,202,-5.61,2610,565121
4/18/2012,202,219,195,211,4.46,7397,1511144
4/19/2012,211,224,207,217,2.84,9957,2108208
4/22/2012,217,238,220,238,9.68,9024,2090208
4/24/2012,238,261,242,261,9.66,1096,274512
4/25/2012,261,287,266,287,9.96,13760,3939518
