published_date,open,high,low,close,per_change,traded_quantity,traded_amount
9/26/2012,248,249,244,247,nan,7227,1771727
9/30/2012,245,247,238,244,-1.21,7236,1747500
10/1/2012,244,245,240,243,-0.41,5064,1229940
10/1/2012,244,245,240,243,0,5064,1229940
10/2/2012,243,248,242,248,2.06,2854,703587
10/3/2012,248,251,244,248,0,3424,848235
10/4/2012,248,250,244,250,0.81,3162,778818
10/7/2012,250,255,248,252,0.8,6485,1619076
10/8/2012,252,253,245,252,0,7223,1794754
10/9/2012,252,256,250,256,1.59,3945,997688
10/10/2012,256,256,251,253,-1.17,1964,497591
10/11/2012,253,252,250,251,-0.79,3846,964853
10/14/2012,251,254,251,254,1.2,1029,260641
10/15/2012,254,254,249,252,-0.79,1589,399228
10/17/2012,252,260,247,260,3.17,2975,759810
10/18/2012,260,266,260,266,2.31,3263,857695
10/30/2012,266,275,263,270,1.5,2478,668968
10/31/2012,270,285,275,278,2.96,4291,1202150
11/1/2012,278,287,269,287,3.24,2017,558941
11/4/2012,287,301,275,296,3.14,16234,4644510
11/5/2012,296,307,283,297,0.34,12136,3596379
11/6/2012,297,304,288,304,2.36,4876,1445227
11/7/2012,304,310,300,310,1.97,8988,2723750
11/8/2012,310,330,306,308,-0.65,9282,2905349
11/11/2012,308,324,289,293,-4.87,9640,2942956
11/12/2012,293,315,293,313,6.83,3044,925513
11/18/2012,313,326,310,318,1.6,2200,700288
11/20/2012,318,335,316,333,4.72,7312,2409100
11/21/2012,333,344,321,343,3,10747,3641530
11/22/2012,343,344,330,342,-0.29,9816,3317478
11/25/2012,342,370,343,352,2.92,13675,4806048
11/26/2012,352,359,334,359,1.99,14535,5076649
11/27/2012,359,369,345,366,1.95,15772,5698191
11/28/2012,366,385,368,380,3.83,17520,6596300
11/29/2012,380,395,373,380,0,12950,4917274
12/2/2012,380,380,366,370,-2.63,9600,3547576
12/3/2012,370,370,355,364,-1.62,5403,1951546
12/4/2012,364,382,368,380,4.4,11242,4214109
12/5/2012,380,400,379,400,5.26,14715,5693648
12/6/2012,400,404,385,404,1,29266,11506122
12/9/2012,404,398,383,387,-4.21,12055,4681506
12/10/2012,387,393,384,389,0.52,9827,3813009
12/11/2012,389,392,388,390,0.26,12681,4940691
12/12/2012,390,399,390,393,0.77,10338,4074235
12/13/2012,393,397,393,395,0.51,8951,3530672
12/16/2012,395,430,396,429,8.61,27653,11331777
12/17/2012,429,447,430,438,2.1,18004,7909557
12/18/2012,438,436,415,436,-0.46,13364,5707303
12/19/2012,436,440,431,438,0.46,6949,3028986
12/20/2012,438,438,425,425,-2.97,8162,3543582
12/23/2012,425,433,420,424,-0.24,13684,5807736
12/24/2012,424,443,424,439,3.54,15165,6557471
12/26/2012,439,450,420,449,2.28,55877,23914724
12/27/2012,449,445,430,433,-3.56,38430,16714971
12/31/2012,433,426,411,426,-1.62,5621,2350700
1/1/2013,426,418,410,411,-3.52,1508,622168
1/2/2013,411,418,396,411,0,6761,2732121
1/3/2013,411,420,412,415,0.97,8071,3355055
1/6/2013,415,414,405,410,-1.2,6373,2597884
1/7/2013,410,407,402,404,-1.46,4396,1772943
1/8/2013,404,407,397,402,-0.5,2702,1088105
1/9/2013,402,401,397,399,-0.75,2169,864109
1/10/2013,399,410,395,410,2.76,5251,2095800
1/13/2013,410,404,394,400,-2.44,7622,3040440
1/15/2013,400,427,397,426,6.5,7416,3086405
1/16/2013,426,425,410,413,-3.05,3443,1437600
1/17/2013,413,419,400,406,-1.69,6009,2436198
1/20/2013,406,400,382,396,-2.46,8069,3137659
1/21/2013,396,411,392,402,1.52,6102,2458804
1/22/2013,402,414,401,407,1.24,17050,6932381
1/23/2013,407,413,400,406,-0.25,19911,8084306
1/24/2013,406,405,400,400,-1.48,8814,3535881
1/27/2013,400,420,404,408,2,15069,6187130
1/28/2013,408,410,402,410,0.49,8533,3460616
1/30/2013,410,407,400,405,-1.22,10470,4210378
1/31/2013,405,405,400,405,0,4602,1843687
2/3/2013,405,418,408,414,2.22,7579,3131234
2/4/2013,414,424,409,424,2.42,6088,2511468
2/5/2013,424,421,413,416,-1.89,2858,1188795
2/6/2013,416,417,410,417,0.24,2049,848745
2/7/2013,417,416,410,416,-0.24,5440,2238601
2/10/2013,416,415,409,415,-0.24,8687,3584658
2/12/2013,415,438,415,438,5.54,19909,8571463
2/13/2013,438,438,418,438,0,9073,3873642
2/14/2013,438,448,430,441,0.68,18055,7999806
2/17/2013,441,485,449,484,9.75,1848,894488
2/19/2013,484,532,469,470,-2.89,28140,13614001
2/20/2013,470,468,444,465,-1.06,18130,8364851
2/21/2013,465,485,450,468,0.65,13474,6290624
2/24/2013,468,467,457,460,-1.71,12103,5571335
2/25/2013,460,485,466,484,5.22,21953,10305317
2/26/2013,484,493,480,486,0.41,16756,8120369
2/27/2013,486,490,475,484,-0.41,27729,13261099
2/28/2013,484,490,479,488,0.83,22055,10717234
3/3/2013,488,500,488,499,2.25,16091,7985532
3/4/2013,499,501,482,482,-3.41,27727,13721203
3/5/2013,482,500,490,491,1.87,12422,6115736
3/6/2013,491,501,484,499,1.63,12909,6420608
3/7/2013,499,500,475,495,-0.8,7774,3865363
3/11/2013,495,508,496,500,1.01,8775,4384337
3/13/2013,500,517,503,517,3.4,11206,5670389
3/14/2013,517,557,515,530,2.51,19147,10122761
3/17/2013,530,536,512,524,-1.13,16582,8623872
3/18/2013,524,534,511,526,0.38,16018,8237988
3/19/2013,526,533,511,521,-0.95,13086,6804308
3/20/2013,521,526,510,514,-1.34,16270,8341772
3/21/2013,514,514,500,506,-1.56,13949,7046239
3/24/2013,506,505,497,500,-1.19,8985,4488457
3/25/2013,500,508,492,504,0.8,10422,5200273
3/27/2013,504,501,497,499,-0.99,5051,2521196
3/28/2013,499,500,491,498,-0.2,6050,3014807
3/31/2013,498,492,480,482,-3.21,12315,5988924
4/1/2013,482,502,473,502,4.15,16704,8247866
4/2/2013,502,510,490,507,1,8638,4336577
4/3/2013,507,506,497,500,-1.38,5659,2839885
4/4/2013,500,501,483,497,-0.6,4475,2205860
4/7/2013,497,501,493,499,0.4,4584,2284331
4/8/2013,499,503,496,502,0.6,9152,4584268
4/9/2013,502,516,495,516,2.79,9482,4781265
4/11/2013,516,525,510,513,-0.58,10235,5282700
4/15/2013,513,526,515,515,0.39,10538,5477190
4/16/2013,515,520,507,520,0.97,4194,2146306
4/17/2013,520,519,510,517,-0.58,9228,4742734
4/18/2013,517,513,506,508,-1.74,8169,4156683
4/21/2013,508,518,490,495,-2.56,15641,7776639
4/22/2013,495,493,475,493,-0.4,10553,5081072
4/23/2013,493,505,493,496,0.61,9788,4888517
4/25/2013,496,504,486,488,-1.61,2497,1221649
4/28/2013,488,493,479,480,-1.64,9870,4780257
4/29/2013,480,490,479,486,1.25,5471,2646389
4/30/2013,486,483,479,481,-1.03,6953,3338497
5/2/2013,481,489,467,485,0.83,3369,1592661
5/5/2013,485,478,436,465,-4.12,5675,2565005
5/6/2013,465,456,419,435,-6.45,9322,3956592
5/7/2013,435,462,431,455,4.6,17062,7688708
5/8/2013,455,464,443,444,-2.42,4781,2140598
5/9/2013,444,452,440,446,0.45,2146,951579
5/12/2013,446,448,435,448,0.45,1421,621199
5/13/2013,448,447,425,447,-0.22,9340,4077639
5/14/2013,447,442,426,432,-3.36,36011,15615994
8/5/2013,432,475,440,475,9.95,288,135316
8/6/2013,475,514,475,505,6.32,51758,25472494
8/7/2013,505,508,486,489,-3.17,21531,10651804
8/8/2013,489,490,471,475,-2.86,9980,4750538
8/11/2013,475,475,451,459,-3.37,7270,3321372
8/12/2013,459,464,450,451,-1.74,8484,3835867
8/13/2013,451,455,447,449,-0.44,7911,3549817
8/14/2013,449,449,441,444,-1.11,7899,3501192
8/15/2013,444,451,425,430,-3.15,7007,3024875
8/18/2013,430,447,422,441,2.56,23584,10178547
8/19/2013,441,451,432,443,0.45,11651,5113976
8/20/2013,443,448,437,448,1.13,15091,6659986
8/25/2013,448,445,432,435,-2.9,3871,1684935
8/26/2013,435,435,427,428,-1.61,4468,1921431
8/27/2013,428,445,421,425,-0.7,37090,15875415
8/29/2013,425,435,422,429,0.94,5418,2333917
9/1/2013,429,435,428,433,0.93,3549,1535695
9/2/2013,433,433,423,430,-0.69,6230,2663210
9/3/2013,430,434,428,431,0.23,5877,2531587
9/4/2013,431,430,424,430,-0.23,6439,2742546
9/5/2013,430,427,421,422,-1.86,6760,2858559
9/8/2013,422,427,423,423,0.24,4047,1716697
9/9/2013,423,435,425,430,1.65,5365,2289407
9/10/2013,430,425,420,420,-2.33,6261,2640306
9/11/2013,420,429,415,420,0,6957,2918091
9/12/2013,420,427,419,421,0.24,7907,3328029
9/15/2013,421,423,405,409,-2.85,4223,1762224
9/16/2013,409,410,401,407,-0.49,5013,2034801
9/17/2013,407,407,398,398,-2.21,8215,3302033
9/19/2013,398,425,396,420,5.53,5539,2231203
9/22/2013,420,412,400,404,-3.81,6710,2702730
9/23/2013,404,411,399,406,0.5,6332,2537307
9/24/2013,406,410,400,402,-0.99,4881,1963873
9/25/2013,402,407,395,401,-0.25,5858,2352110
9/26/2013,401,405,400,400,-0.25,4898,1961671
9/29/2013,400,401,395,400,0,2314,918768
9/30/2013,400,400,391,397,-0.75,4273,1689324
10/1/2013,397,401,393,400,0.76,2062,817288
10/2/2013,400,400,392,398,-0.5,2553,1011834
10/3/2013,398,399,393,399,0.25,2521,995053
10/6/2013,399,401,395,400,0.25,1414,564311
10/7/2013,400,421,392,421,5.25,891,362798
10/8/2013,421,429,413,415,-1.43,1250,521547
10/9/2013,415,427,411,427,2.89,1960,818646
10/10/2013,427,435,417,428,0.23,8225,3454287
10/17/2013,428,439,423,431,0.7,8357,3643565
10/20/2013,431,449,438,446,3.48,9550,4254181
10/21/2013,446,458,442,455,2.02,13555,6101277
10/22/2013,455,460,452,460,1.1,20608,9361239
10/23/2013,460,463,450,461,0.22,9894,4485019
10/24/2013,461,456,445,450,-2.39,50950,22946330
10/27/2013,450,458,446,450,0,5304,2383731
10/28/2013,450,451,441,447,-0.67,11688,5242277
10/29/2013,447,451,446,448,0.22,3152,1413919
10/30/2013,448,460,441,451,0.67,11836,5330583
10/31/2013,451,473,450,457,1.33,28479,13138474
