open,high,low,close,per_change,traded_quantity,traded_amount
1091.0,1155.0,1112.0,1155.0,0.0,38,43057.0
1155.0,1193.0,1160.0,1193.0,3.29,156,183026.0
1193.0,1172.0,1150.0,1172.0,-1.76,939,1087972.0
1172.0,1194.0,1155.0,1194.0,1.88,490,573992.0
1194.0,1193.0,1178.0,1178.0,-1.34,115,135930.0
1178.0,1189.0,1165.0,1170.0,-0.68,239,279927.0
1170.0,1160.0,1150.0,1150.0,-1.71,282,325456.0
1150.0,1159.0,1100.0,1150.0,0.0,597,664216.0
1150.0,1149.0,1127.0,1149.0,-0.09,127,143553.0
1149.0,1151.0,1140.0,1150.0,0.09,320,366010.0
1150.0,1140.0,1080.0,1100.0,-4.35,873,967825.0
1100.0,1122.0,1060.0,1080.0,-1.82,338,364480.0
1080.0,1101.0,1040.0,1056.0,-2.22,1912,2011952.0
1056.0,1060.0,1030.0,1060.0,0.38,665,691620.0
1060.0,1060.0,1020.0,1055.0,-0.47,1052,1104070.0
1055.0,1045.0,1000.0,1045.0,-0.95,236,240327.0
1045.0,1025.0,985.0,1020.0,-2.39,1212,1209779.0
1020.0,1025.0,966.0,1023.0,0.29,338,333519.0
1023.0,1003.0,932.0,965.0,-5.67,632,601240.0
965.0,955.0,903.0,933.0,-3.32,2673,2453922.0
933.0,915.0,855.0,868.0,-6.97,1716,1520501.0
868.0,860.0,790.0,817.0,-5.88,1931,1582441.0
817.0,898.0,803.0,898.0,9.91,1980,1626616.0
898.0,987.0,915.0,987.0,9.91,1362,1334036.0
898.0,987.0,915.0,987.0,0.0,1362,1334036.0
1085.0,1193.0,1106.0,1193.0,20.87,3475,4021756.0
1193.0,1312.0,1216.0,1310.0,9.81,3749,4805062.0
1310.0,1375.0,1179.0,1228.0,-6.26,3966,5020720.0
1228.0,1219.0,1106.0,1106.0,-9.93,552,629914.0
1106.0,1140.0,1024.0,1123.0,1.54,1583,1730151.0
1123.0,1140.0,1060.0,1140.0,1.51,1898,2042371.0
1140.0,1118.0,1059.0,1065.0,-6.58,863,929659.0
1065.0,1086.0,1030.0,1086.0,1.97,3785,3945917.0
1086.0,1140.0,1086.0,1140.0,4.97,1168,1284613.0
1140.0,1162.0,1100.0,1100.0,-3.51,1170,1321084.0
1100.0,1125.0,1098.0,1120.0,1.82,344,383354.0
1120.0,1150.0,1135.0,1140.0,1.79,2034,2311080.0
1140.0,1164.0,1130.0,1160.0,1.75,1784,2053243.0
1160.0,1240.0,1180.0,1190.0,2.59,1022,1222314.0
1190.0,1260.0,1190.0,1190.0,0.0,1603,1934702.0
1190.0,1252.0,1213.0,1252.0,5.21,883,1083658.0
1252.0,1377.0,1277.0,1377.0,9.98,177,235979.0
1377.0,1410.0,1258.0,1283.0,-6.83,1584,2115924.0
1283.0,1321.0,1285.0,1321.0,2.96,1301,1702762.0
1321.0,1373.0,1326.0,1356.0,2.65,814,1095038.0
1356.0,1380.0,1345.0,1370.0,1.03,1285,1742628.0
1370.0,1345.0,1260.0,1320.0,-3.65,808,1046020.0
1320.0,1294.0,1294.0,1294.0,-1.97,59,76346.0
1294.0,1270.0,1246.0,1265.0,-2.24,652,826113.0
1265.0,1294.0,1245.0,1294.0,2.29,2033,2554709.0
1294.0,1305.0,1276.0,1289.0,-0.39,578,744984.0
1289.0,1264.0,1240.0,1250.0,-3.03,539,674520.0
1250.0,1254.0,1241.0,1246.0,-0.32,495,616155.0
1246.0,1270.0,1242.0,1266.0,1.61,596,743514.0
1266.0,1255.0,1235.0,1240.0,-2.05,665,824608.0
1240.0,1252.0,1232.0,1252.0,0.97,114,140848.0
1252.0,1227.0,1180.0,1182.0,-5.59,740,878783.0
1182.0,1234.0,1160.0,1234.0,4.4,1124,1316070.0
1234.0,1255.0,1220.0,1220.0,-1.13,115,141748.0
1220.0,1241.0,1210.0,1225.0,0.41,1476,1800766.0
1225.0,1230.0,1205.0,1225.0,0.0,1028,1254931.0
1225.0,1231.0,1210.0,1231.0,0.49,645,787804.0
1231.0,1230.0,1220.0,1224.0,-0.57,321,393132.0
1224.0,1220.0,1211.0,1211.0,-1.06,104,126430.0
1211.0,1210.0,1200.0,1200.0,-0.91,425,511260.0
1200.0,1207.0,1190.0,1190.0,-0.83,564,676062.0
1190.0,1180.0,1175.0,1180.0,-0.84,403,474435.0
1180.0,1157.0,1062.0,1062.0,-10.0,100,108720.0
1062.0,1041.0,956.0,956.0,-9.98,863,827348.0
956.0,992.0,934.0,992.0,3.77,8063,7668660.0
992.0,999.0,974.0,990.0,-0.2,1614,1588177.0
